NID,Time,EventName,DisasterType,Lon,Lat,C_Name,T_Name,Address,situation,TOWN_ID
150133,2016-9-27 16:45,梅姬颱風,road blockage,121.541658,24.544504,宜蘭縣,大同鄉,宜蘭縣員山鄉台七線108.5K往粗坑方向,落石影響通行,1000211
162157,2016-9-27 16:30,梅姬颱風,rock fall,121.374235,24.695024,桃園市,復興區,桃園市復興區高義里,榮華派出所前坍方，道路中斷,6801300
150428,2016-9-27 16:29,梅姬颱風,road blockage,120.676365,23.845686,南投縣,名間鄉,南投縣名間鄉,本鄉中山國小、名崗國小前路樹倒塌至路中間阻礙交通，請協助派員處理，謝謝。,1000806
150752,2016-9-27 16:09,梅姬颱風,road blockage,119.53125,23.632573,澎湖縣,西嶼鄉,澎湖縣西嶼鄉合界村,合界和竹灣城間入口，三色號誌燈快要掉落。,1001604
150891,2016-9-27 16:01,梅姬颱風,rock fall,121.517076,24.094354,花蓮縣,秀林鄉,花蓮縣秀林鄉,秀林鄉銅門二號落石影響交通,1001511
151148,2016-9-27 15:45,梅姬颱風,roadbed loss,121.5146,25.0896,桃園市,,龜山區光峰路2之1號,案件編號:00423020主旨:路基掏空內文：(1999無email，不清楚可與民眾電話聯繫)民眾反映龜山區光峰路2之1號對面，漢堡大師門口馬路邊有洞，雨水沖刷有路基掏空的現象，民眾擔心會坍塌，煩請相關單位協處。,#N/A
151322,2016-9-27 15:36,梅姬颱風,debris flow,121.139316,24.584118,新竹縣,五峰鄉,新竹縣五峰鄉,竹122縣31k全線中斷無法通行(約五指山附近),1000413
151482,2016-9-27 15:27,梅姬颱風,slope slump,121.074633,24.720937,新竹縣,竹東鎮,新竹縣竹東鎮南清公路28.5公里處邊坡坍方,新竹縣竹東鎮南清公路28.5公里處邊坡坍方,1000402
152279,2016-9-27 14:46,梅姬颱風,roadbed loss,120.211938,22.988605,臺南市,東區,臺南市東區大同路及林森路 路口,路口人行道有地基下陷   約臉盆大 ==================== 臺南市東區路東里林森路一段1號(拉麵店旁行人穿越道)路面地基下陷 ,6703200
152468,2016-9-27 14:38,梅姬颱風,road blockage,121.157613,24.080242,南投縣,仁愛鄉,南投縣仁愛鄉大同村,投89線14.5k處土石坍方,1000813
152823,2016-9-27 14:22,梅姬颱風,slope slump,121.136713,23.961156,南投縣,仁愛鄉,南投縣仁愛鄉親愛村,親愛村往奧萬大聯絡道6.5k處土石坍方,1000813
155151,2016-9-27 12:00,梅姬颱風,rock fall,121.273912,24.598281,新竹縣,尖石鄉,新竹縣尖石鄉尖石竹60-1線7k處(落石坍方)," 因持續有零星落石掉落,建議先行封路以維護民眾生命財產安全.",1000412
155177,2016-9-27 11:57,梅姬颱風,road blockage,121.104183,24.668137,新竹縣,竹東鎮,新竹縣竹東南清公路鎮軟橋27.6公里處,1.新竹縣竹東南清公路鎮軟橋27.6公里處，邊坡有落石，目前只能單向通車。 2.已通報縣府養護科處理。 3.12：20上坪所回報：已先將石頭移至路邊並置放三角錐及警戒線，後續請養護科協助。,1000402
155191,2016-9-27 11:56,梅姬颱風,slope slump,121.273912,24.598281,新竹縣,尖石鄉,新竹縣尖石鄉下田埔道路(崩塌), 目前因線廠風強雨勢大.等雨勢趨緩後立即前往清除.,1000412
155267,2016-9-27 11:48,梅姬颱風,road blockage,121.309147,24.180153,花蓮縣,秀林鄉,花蓮縣秀林鄉富世村,台14甲線42k處土石坍方,1001511
155377,2016-9-27 11:37,梅姬颱風,road blockage,121.276102,24.228651,南投縣,仁愛鄉,南投縣仁愛鄉榮興村,台8線106k處土石坍方,1000813
155384,2016-9-27 11:36,梅姬颱風,rock fall,120.688335,22.669456,屏東縣,瑪家鄉,屏東縣瑪家鄉,屏35線往北葉國小道路邊坡崩落坍坊，請派員處理,1001328
146253,2016-9-27 11:25,梅姬颱風,debris flow,121.139316,24.584118,新竹縣,五峰鄉,新竹縣五峰鄉,竹林村忠興第1部落坍方,1000413
